name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,1,-15,4
DeMar DeRozan,1,2PT Field Goal,2,-13,17
DeMar DeRozan,1,2PT Field Goal,3,-35,6
DeMar DeRozan,1,2PT Field Goal,6,56,28
DeMar DeRozan,0,2PT Field Goal,1,-16,6
DeMar DeRozan,1,2PT Field Goal,3,34,12
DeMar DeRozan,1,2PT Field Goal,4,34,34
DeMar DeRozan,1,2PT Field Goal,2,20,9
DeMar DeRozan,0,2PT Field Goal,2,26,14
DeMar DeRozan,1,2PT Field Goal,3,6,39
DeMar DeRozan,1,2PT Field Goal,2,-26,4
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,0,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,0,0,1
DeMar DeRozan,1,2PT Field Goal,2,24,6
DeMar DeRozan,1,2PT Field Goal,2,28,9
DeMar DeRozan,1,2PT Field Goal,1,-11,7
DeMar DeRozan,1,2PT Field Goal,1,6,11
DeMar DeRozan,1,2PT Field Goal,1,-10,12
DeMar DeRozan,1,2PT Field Goal,2,12,19
DeMar DeRozan,1,2PT Field Goal,1,18,6
DeMar DeRozan,1,2PT Field Goal,2,-8,23
DeMar DeRozan,0,2PT Field Goal,4,13,44
DeMar DeRozan,0,2PT Field Goal,2,20,17
DeMar DeRozan,1,2PT Field Goal,7,-24,67
DeMar DeRozan,1,2PT Field Goal,5,21,56
DeMar DeRozan,0,2PT Field Goal,5,37,34
DeMar DeRozan,0,2PT Field Goal,6,-60,9
DeMar DeRozan,0,2PT Field Goal,4,43,25
DeMar DeRozan,0,2PT Field Goal,4,-2,47
DeMar DeRozan,0,2PT Field Goal,5,-30,48
DeMar DeRozan,1,2PT Field Goal,4,-23,44
DeMar DeRozan,0,2PT Field Goal,6,-51,33
DeMar DeRozan,1,2PT Field Goal,5,21,56
DeMar DeRozan,1,2PT Field Goal,5,45,34
DeMar DeRozan,1,2PT Field Goal,14,143,9
DeMar DeRozan,1,2PT Field Goal,5,-56,6
DeMar DeRozan,0,2PT Field Goal,5,6,50
DeMar DeRozan,1,2PT Field Goal,5,-51,0
DeMar DeRozan,0,2PT Field Goal,9,84,44
DeMar DeRozan,1,2PT Field Goal,3,-30,0
DeMar DeRozan,1,2PT Field Goal,2,-24,1
DeMar DeRozan,0,2PT Field Goal,3,29,26
DeMar DeRozan,0,2PT Field Goal,4,-8,42
DeMar DeRozan,0,2PT Field Goal,4,37,33
DeMar DeRozan,0,2PT Field Goal,6,4,69
DeMar DeRozan,1,2PT Field Goal,4,10,41
DeMar DeRozan,1,2PT Field Goal,9,-4,99
DeMar DeRozan,1,2PT Field Goal,4,-35,25
DeMar DeRozan,1,2PT Field Goal,6,37,58
DeMar DeRozan,0,2PT Field Goal,4,-18,37
DeMar DeRozan,1,2PT Field Goal,4,15,47
DeMar DeRozan,0,2PT Field Goal,5,-54,-14
DeMar DeRozan,0,2PT Field Goal,3,20,31
DeMar DeRozan,1,2PT Field Goal,3,-29,12
DeMar DeRozan,0,2PT Field Goal,5,-32,42
DeMar DeRozan,0,2PT Field Goal,5,-8,52
DeMar DeRozan,0,2PT Field Goal,5,42,31
DeMar DeRozan,0,2PT Field Goal,4,32,34
DeMar DeRozan,1,2PT Field Goal,4,23,34
DeMar DeRozan,0,2PT Field Goal,5,2,55
DeMar DeRozan,0,2PT Field Goal,8,-48,72
DeMar DeRozan,0,2PT Field Goal,3,2,31
DeMar DeRozan,1,2PT Field Goal,5,-46,22
DeMar DeRozan,0,2PT Field Goal,3,-32,17
DeMar DeRozan,1,2PT Field Goal,4,20,36
DeMar DeRozan,1,2PT Field Goal,2,-26,7
DeMar DeRozan,1,2PT Field Goal,2,21,6
DeMar DeRozan,1,2PT Field Goal,1,18,-5
DeMar DeRozan,1,2PT Field Goal,1,1,11
DeMar DeRozan,0,2PT Field Goal,1,10,11
DeMar DeRozan,0,2PT Field Goal,2,-21,7
DeMar DeRozan,1,2PT Field Goal,2,-24,14
DeMar DeRozan,1,2PT Field Goal,2,-26,1
DeMar DeRozan,0,2PT Field Goal,4,40,17
DeMar DeRozan,1,2PT Field Goal,1,18,6
DeMar DeRozan,0,2PT Field Goal,3,-32,-14
DeMar DeRozan,0,2PT Field Goal,0,-2,0
DeMar DeRozan,0,2PT Field Goal,2,-23,6
DeMar DeRozan,0,2PT Field Goal,1,-7,15
DeMar DeRozan,0,2PT Field Goal,2,23,4
DeMar DeRozan,1,2PT Field Goal,1,-19,3
DeMar DeRozan,1,2PT Field Goal,1,-15,7
DeMar DeRozan,1,2PT Field Goal,2,26,12
DeMar DeRozan,1,2PT Field Goal,2,-29,0
DeMar DeRozan,0,2PT Field Goal,2,23,12
DeMar DeRozan,0,2PT Field Goal,2,24,-3
DeMar DeRozan,1,2PT Field Goal,2,15,25
DeMar DeRozan,1,2PT Field Goal,1,15,-2
DeMar DeRozan,1,2PT Field Goal,2,-19,11
DeMar DeRozan,0,2PT Field Goal,1,17,7
DeMar DeRozan,1,2PT Field Goal,0,-8,3
DeMar DeRozan,1,2PT Field Goal,1,-13,3
DeMar DeRozan,1,2PT Field Goal,1,-18,0
DeMar DeRozan,0,2PT Field Goal,3,32,23
DeMar DeRozan,0,2PT Field Goal,3,-27,20
DeMar DeRozan,1,2PT Field Goal,4,43,20
DeMar DeRozan,1,2PT Field Goal,2,-26,4
DeMar DeRozan,0,2PT Field Goal,2,20,20
DeMar DeRozan,1,2PT Field Goal,0,-7,6
DeMar DeRozan,0,2PT Field Goal,1,-17,9
DeMar DeRozan,0,2PT Field Goal,2,-15,17
DeMar DeRozan,0,2PT Field Goal,1,15,11
DeMar DeRozan,1,2PT Field Goal,1,17,6
DeMar DeRozan,0,2PT Field Goal,1,-10,9
DeMar DeRozan,1,2PT Field Goal,2,-27,1
DeMar DeRozan,0,2PT Field Goal,1,-13,4
DeMar DeRozan,1,2PT Field Goal,2,-24,4
DeMar DeRozan,0,2PT Field Goal,0,1,7
DeMar DeRozan,1,2PT Field Goal,2,24,17
DeMar DeRozan,0,2PT Field Goal,4,39,20
DeMar DeRozan,0,2PT Field Goal,2,-27,0
DeMar DeRozan,0,2PT Field Goal,2,-23,0
DeMar DeRozan,0,2PT Field Goal,1,-16,9
DeMar DeRozan,0,2PT Field Goal,1,-19,3
DeMar DeRozan,1,2PT Field Goal,2,21,17
DeMar DeRozan,0,2PT Field Goal,1,-8,12
