name,shot_made_flag,shot_type,shot_distance,x,y,,
Stephen Curry,1,2PT Field Goal,1,0,14,,-67
Stephen Curry,1,2PT Field Goal,4,26,36,,0
Stephen Curry,1,2PT Field Goal,5,50,12,,
Stephen Curry,1,2PT Field Goal,9,6,91,,
Stephen Curry,1,2PT Field Goal,4,47,6,,
Stephen Curry,0,2PT Field Goal,1,-4,15,,
Stephen Curry,0,2PT Field Goal,2,-7,28,,
Stephen Curry,1,2PT Field Goal,2,17,19,,
Stephen Curry,0,2PT Field Goal,1,-15,-2,,
Stephen Curry,1,2PT Field Goal,2,20,19,,
Stephen Curry,1,2PT Field Goal,2,13,20,,
Stephen Curry,1,2PT Field Goal,2,9,26,,
Stephen Curry,1,2PT Field Goal,1,-15,-3,,
Stephen Curry,1,2PT Field Goal,0,2,0,,
Stephen Curry,1,2PT Field Goal,1,-8,7,,
Stephen Curry,0,2PT Field Goal,1,0,12,,
Stephen Curry,1,2PT Field Goal,2,14,17,,
Stephen Curry,1,2PT Field Goal,3,15,26,,
Stephen Curry,1,2PT Field Goal,1,-11,14,,
Stephen Curry,1,2PT Field Goal,1,-16,4,,
Stephen Curry,0,2PT Field Goal,2,1,20,,
Stephen Curry,1,2PT Field Goal,2,6,22,,
Stephen Curry,1,2PT Field Goal,1,10,14,,
Stephen Curry,1,2PT Field Goal,1,15,0,,
Stephen Curry,0,2PT Field Goal,2,-18,14,,
Stephen Curry,1,2PT Field Goal,2,7,22,,
Stephen Curry,1,2PT Field Goal,1,-16,6,,
Stephen Curry,1,2PT Field Goal,1,12,12,,
Stephen Curry,1,2PT Field Goal,3,9,33,,
Stephen Curry,1,2PT Field Goal,3,29,15,,
Stephen Curry,1,2PT Field Goal,3,6,30,,
Stephen Curry,0,2PT Field Goal,1,9,15,,
Stephen Curry,1,2PT Field Goal,2,0,23,,
Stephen Curry,1,2PT Field Goal,1,-10,-8,,
Stephen Curry,0,2PT Field Goal,3,4,31,,
Stephen Curry,1,2PT Field Goal,2,-10,20,,
Stephen Curry,1,2PT Field Goal,1,12,1,,
Stephen Curry,1,2PT Field Goal,2,23,12,,
Stephen Curry,1,2PT Field Goal,1,0,17,,
Stephen Curry,1,2PT Field Goal,1,12,4,,
Stephen Curry,1,2PT Field Goal,1,-15,3,,
Stephen Curry,1,2PT Field Goal,2,18,22,,
Stephen Curry,1,2PT Field Goal,0,6,4,,
Stephen Curry,0,2PT Field Goal,9,-89,39,,
Stephen Curry,1,2PT Field Goal,3,31,7,,
Stephen Curry,0,2PT Field Goal,3,-10,37,,
Stephen Curry,0,2PT Field Goal,4,6,44,,
Stephen Curry,1,2PT Field Goal,4,20,45,,
Stephen Curry,0,2PT Field Goal,5,-13,52,,
Stephen Curry,0,2PT Field Goal,3,-24,22,,
Stephen Curry,1,2PT Field Goal,3,29,12,,
Stephen Curry,0,2PT Field Goal,5,10,53,,
